"date","page","query","clicks","impressions","ctr","position"
2017-02-20,"http://digi-women.com/","digi women",3,3,1,1
2017-01-17,"http://digi-women.com/","digiwomen",3,4,0.75,1
2017-03-01,"http://digi-women.com/","digiwomen",2,2,1,1
2017-03-03,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1
2017-02-19,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",1,3,0.333333333333333,4
2017-01-17,"http://digi-women.com/about-digiwomen/","digiwomen",1,3,0.333333333333333,2.66666666666667
2017-01-04,"http://digi-women.com/team-member/linda-farrelly/","linda farrelly",1,1,1,16
2017-01-27,"http://digi-women.com/margaret-charleville-one-to-one-computer-training/","one to one computer training",1,1,1,10
2017-03-07,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",1,1,1,1
2016-12-15,"http://digi-women.com/","digiwomen",1,1,1,1
2017-02-15,"http://digi-women.com/","women in technology ireland",1,1,1,2
2017-02-16,"http://digi-women.com/","women in tech ireland",1,1,1,4
2017-02-02,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-03-13,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-03-12,"http://digi-women.com/about-digiwomen/","digiwomen",1,1,1,2
2017-02-24,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1
2017-02-16,"http://digi-women.com/about-digiwomen/","digiwomen",1,1,1,3
2016-12-13,"http://digi-women.com/about-digiwomen/","digiwomen",1,1,1,2
2017-03-02,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",1,2,0.5,5.5
2016-12-26,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-02-06,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-03-02,"http://digi-women.com/","women in tech dublin",1,1,1,8
2017-01-23,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-02-21,"http://digi-women.com/","women in technology ireland",1,4,0.25,2.5
2016-12-16,"http://digi-women.com/author/admin/","digiwomen",1,2,0.5,2
2017-01-01,"http://digi-women.com/dublin-business-school-careers-fair-2016/","huggnote",1,1,1,26
2017-02-19,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1
2017-02-13,"http://digi-women.com/","digiwomen",1,1,1,1
2017-02-09,"http://digi-women.com/","women in technology ireland",1,4,0.25,3
2017-02-21,"http://digi-women.com/author/admin/","digiwomen",1,2,0.5,2
2017-01-23,"http://digi-women.com/dublin-business-school-careers-fair-2016/","unipupil",1,1,1,41
2017-02-01,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","maelle gavet husband",1,1,1,30
2017-03-09,"http://digi-women.com/","digiwomen",1,1,1,1
2017-02-24,"http://digi-women.com/about-digiwomen/","digiwomen",1,1,1,2
2017-01-19,"http://digi-women.com/","digiwomen",1,2,0.5,1
2016-12-20,"http://digi-women.com/author/admin/","digiwomen",1,1,1,3
2017-02-24,"http://digi-women.com/","digi women",1,3,0.333333333333333,1
2017-02-28,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-01-13,"http://digi-women.com/","digiwomen",1,2,0.5,2
2017-01-27,"http://digi-women.com/","digiwomen",1,1,1,1
2016-12-22,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-02-17,"http://digi-women.com/","women in tech ireland",1,1,1,4
2017-02-20,"http://digi-women.com/","women in technology ireland",1,2,0.5,3
2017-01-26,"http://digi-women.com/","digiwomen",1,4,0.25,1
2017-02-14,"http://digi-women.com/","digiwomen",1,1,1,1
2017-01-24,"http://digi-women.com/","digiwomen",1,2,0.5,1.5
2017-02-15,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1
2017-02-21,"http://digi-women.com/","digi women",1,2,0.5,1
2017-02-26,"http://digi-women.com/","digi women",1,1,1,1
2017-02-14,"http://digi-women.com/author/admin/","digiwomen",1,1,1,3
2017-03-04,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",1,3,0.333333333333333,4
2017-02-23,"http://digi-women.com/","digiwomen",1,1,1,1
2017-03-10,"http://digi-women.com/","digiwomen",1,1,1,1
2017-01-06,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",1,2,0.5,6
2016-12-20,"http://digi-women.com/","digi gender",1,1,1,3
2017-01-10,"http://digi-women.com/author/admin/","pauline sargent",1,2,0.5,5
2017-01-19,"http://digi-women.com/author/admin/","pauline sargent",1,1,1,5
2016-12-19,"http://digi-women.com/author/yvonnec/","yvonne costello",1,1,1,11
2017-03-09,"http://digi-women.com/","digi women",1,6,0.166666666666667,1
2017-03-08,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1
2017-02-28,"http://digi-women.com/","women in tech ireland",1,2,0.5,9
2016-12-16,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1.33333333333333
2016-12-23,"http://digi-women.com/","digiwomen",1,2,0.5,1
2017-03-07,"http://digi-women.com/","digiwomen",1,1,1,1
2017-03-08,"http://digi-women.com/","women in tech ireland",1,2,0.5,9.5
2017-03-08,"http://digi-women.com/","women in technology ireland",1,1,1,9
2017-02-04,"http://digi-women.com/","digiwomen",1,1,1,1
2017-02-24,"http://digi-women.com/contact-us/","digiwomen",1,3,0.333333333333333,2.33333333333333
2017-03-13,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",1,5,0.2,8
2017-01-04,"http://digi-women.com/","digiwomen",1,3,0.333333333333333,1.33333333333333
2017-02-10,"http://digi-women.com/","women in tech dublin",1,1,1,8
2017-03-07,"http://digi-women.com/team-member/aoife-porter-bua-marketing/","aoife porter",0,1,0,9
2017-01-11,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,1,0,7
2017-03-11,"http://digi-women.com/author/admin/","pauline sargent",0,1,0,6
2017-01-31,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,2,0,8.5
2017-02-11,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,2,0,4
2017-01-25,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,6
2016-12-13,"http://digi-women.com/dublin-business-school-careers-fair-2016/","job fair dublin",0,1,0,44
2017-03-05,"http://digi-women.com/dublin-business-school-digiwomen-society/","dublin business school",0,3,0,36.6666666666667
2017-01-04,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","icostume",0,2,0,9
2016-12-23,"http://digi-women.com/team-member/aoife-porter-bua-marketing/","bua marketing",0,3,0,12
2017-01-20,"http://digi-women.com/author/yvonnec/","yvonne costello",0,1,0,18
2017-01-02,"http://digi-women.com/wearehere-unfail-unconference/","unfail",0,1,0,29
2017-02-09,"http://digi-women.com/team-member/pauline-sargent-social-zavvy/","pauline sargent",0,1,0,3
2017-01-28,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",0,3,0,5.66666666666667
2017-01-20,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,7,0,6.57142857142857
2017-01-14,"http://digi-women.com/team-member/liz-lennon-site-design-in-one-day/","liz lennon",0,1,0,3
2017-03-02,"http://digi-women.com/team-member/liz-lennon-site-design-in-one-day/","liz lennon",0,1,0,4
2017-02-26,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","edel flynn",0,2,0,8
2017-01-19,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business scholl",0,1,0,43
2017-01-04,"http://digi-women.com/author/admin/","digiwomen",0,1,0,3
2016-12-22,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,1,0,3
2017-02-10,"http://digi-women.com/startup-weekend-21-23-nov-2014/","startup weekend logo",0,4,0,1
2016-12-25,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,1,0,39
2017-02-09,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",0,1,0,7
2016-12-18,"http://digi-women.com/team-member/three-thought-bubbles/","three thought bubbles",0,1,0,7
2017-01-12,"http://digi-women.com/author/admin/","pauline sargent",0,2,0,8
2017-01-01,"http://digi-women.com/tag/swipe-summit/","swipe summit",0,1,0,13
2017-03-08,"http://digi-women.com/team-member/pauline-sargent-social-zavvy/","zavvy",0,2,0,30
2017-02-17,"http://digi-women.com/dublin-business-school-careers-fair-2016/","digi career",0,1,0,29
2017-03-02,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,8,0,2.25
2017-01-12,"http://digi-women.com/","digi facebook",0,5,0,8
2017-01-04,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,1,0,6
2017-01-22,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","ann neidenbach",0,1,0,49
2017-02-19,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya price instagram",0,1,0,42
2017-02-05,"http://digi-women.com/team-member/jessica-maybury-elucidate/","""post a comment"" ~elucidate",0,5,0,129.8
2017-02-21,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","seema mody bio",0,1,0,49
2017-01-09,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dbs college dublin",0,1,0,41
2017-02-20,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,4,0,3
2017-03-11,"http://digi-women.com/","digi ireland",0,1,0,7
2017-02-25,"http://digi-women.com/be-better-at-facebook-for-business/","digi facebook",0,1,0,14
2017-01-06,"http://digi-women.com/team-member/liz-lennon-site-design-in-one-day/","liz lennon",0,1,0,6
2017-01-14,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dbs dublin",0,1,0,44
2017-01-21,"http://digi-women.com/","digi ireland",0,1,0,11
2017-01-14,"http://digi-women.com/female-speakers-at-web-summit-2014-shedidit/","websummit 2014",0,1,0,42
2017-02-17,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","digital hub development agency",0,1,0,40
2017-02-11,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,4,0,39.75
2017-03-02,"http://digi-women.com/team-member/lorna-keogh/","lorna keogh instagram",0,1,0,7
2017-02-21,"http://digi-women.com/tag/dublin-startup/","dublin startup",0,1,0,49
2017-01-26,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,1,0,5
2017-03-03,"http://digi-women.com/dublin-business-school-digiwomen-society/","dublin business school",0,3,0,39.6666666666667
2017-02-02,"http://digi-women.com/","women in tech dublin",0,1,0,4
2017-03-10,"http://digi-women.com/digiwomen-at-web-summit-2014/","web summit 2014",0,1,0,33
2017-02-25,"http://digi-women.com/dublin-business-school-digiwomen-society/","business school dublin",0,1,0,47
2017-01-10,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton actress",0,2,0,1
2017-02-26,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,2,0,3.5
2017-02-01,"http://digi-women.com/ndrc-female-founders/","tara van zyl",0,1,0,6
2017-01-06,"http://digi-women.com/","digi ireland",0,1,0,5
2017-03-13,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya facebook photo",0,1,0,43
2017-02-24,"http://digi-women.com/","digi woman",0,3,0,2
2017-01-17,"http://digi-women.com/","women in tech dublin",0,1,0,10
2016-12-15,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","edel flynn",0,1,0,1
2017-02-12,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","icostume",0,1,0,9
2017-03-06,"http://digi-women.com/team-member/yoga-with-emma/","yoga with emma",0,1,0,5
2017-03-10,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke silicon republic",0,2,0,6
2016-12-18,"http://digi-women.com/author/admin/","pauline sargent",0,1,0,14
2016-12-26,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,1,0,3
2017-01-26,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,3,0,6
2017-02-12,"http://digi-women.com/events/2017/02/women-data-science-wids-2017-rutgers-university/","rutgers data science",0,1,0,35
2017-02-06,"http://digi-women.com/digiwomen-blog/","digiwomen",0,2,0,1
2017-03-05,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya price facebook",0,1,0,9
2016-12-20,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,2,0,4.5
2017-03-07,"http://digi-women.com/","women in tech dublin",0,1,0,12
2017-01-25,"http://digi-women.com/team-member/pauline-sargent-social-zavvy/","pauline sargent",0,4,0,3
2016-12-14,"http://digi-women.com/team-member/jessica-maybury-elucidate/","jessica maybury",0,1,0,1
2017-01-20,"http://digi-women.com/startup-weekend-21-23-nov-2014/","startup weekend logo",0,1,0,1
2017-01-23,"http://digi-women.com/team-member/edel-flynn-and-as-coo-of-the-digital-hub-development-agency/","edel flynn",0,1,0,5
2016-12-16,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,4,0,6.25
2017-01-25,"http://digi-women.com/digiwomen-talk-time-at-the-wearehere-unconference/","talktime digi",0,1,0,10
2017-02-22,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya price facebook",0,1,0,8
2016-12-15,"http://digi-women.com/","ireland woman",0,2,0,8.5
2017-01-31,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,4
2017-03-12,"http://digi-women.com/team-member/jennie-brennan-virtual-office-worx/","jennie brennan",0,1,0,39
2016-12-14,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,2,0,1
2016-12-14,"http://digi-women.com/startup-weekend-21-23-nov-2014/","logo startup weekend",0,1,0,1
2017-02-08,"http://digi-women.com/team-member/linda-farrelly/","linda farrelly",0,2,0,2
2017-01-07,"http://digi-women.com/team-member/lorna-keogh/","lorna keogh",0,1,0,1
2016-12-28,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,3,0,7
2017-01-26,"http://digi-women.com/dublin-business-school-digiwomen-society/","dbs dublin",0,1,0,32
2017-03-13,"http://digi-women.com/digiwomen-talk-time-at-the-wearehere-unconference/","wewerehere",0,1,0,44
2017-01-29,"http://digi-women.com/startup-dublin-is-stronger-together/","dublin startup",0,1,0,44
2017-02-21,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,8,0,2.25
2017-01-31,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,3,0,2
2017-02-22,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dbs careers",0,1,0,28
2017-01-22,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,1,0,3
2017-02-17,"http://digi-women.com/","digi women",0,1,0,1
2017-03-06,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","icostume",0,2,0,9
2017-01-24,"http://digi-women.com/author/admin/","pauline sargent",0,1,0,9
2017-01-27,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school careers",0,1,0,10
2017-01-09,"http://digi-women.com/zen-hen-by-clare-mulvany/","zen hen",0,1,0,10
2017-02-07,"http://digi-women.com/","women in tech dublin",0,1,0,8
2017-02-08,"http://digi-women.com/team-member/joanna-norton-education-apps/","joanna norton",0,1,0,7
2017-02-13,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya monga",0,1,0,26
2017-01-19,"http://digi-women.com/author/admin/","digiwomen",0,1,0,3
2017-01-28,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,6
2017-03-06,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,4
2017-02-10,"http://digi-women.com/two-females-15-males-gender-balance-failure/","digital marketing speakers",0,2,0,437
2017-01-13,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,2,0,1.5
2017-01-07,"http://digi-women.com/","digi facebook",0,4,0,8.75
2017-02-20,"http://digi-women.com/shedidit-patricia-scanlon-of-meowtek/","patricia scanlon",0,2,0,6
2017-01-12,"http://digi-women.com/team-member/sarah-kavanagh-sketch-ie/","sarah kavanagh facebook",0,1,0,16
2017-01-01,"http://digi-women.com/team-member/pauline-sargent-social-zavvy/","zavvy",0,1,0,9
2017-01-03,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","icostume",0,1,0,8
2017-01-13,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","tara van zyl",0,1,0,4
2017-02-09,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,1,0,4
2017-03-13,"http://digi-women.com/team-member/jennie-brennan-virtual-office-worx/","virtual office worx",0,2,0,5
2017-01-16,"http://digi-women.com/dublin-business-school-careers-fair-2016/","business internships dublin",0,1,0,45
2017-01-31,"http://digi-women.com/events/2017/02/women-data-science-wids-2017-rutgers-university/","rutgers data science",0,1,0,43
2017-01-13,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,4,0,1.75
2017-01-24,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,4,0,36.25
2016-12-21,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,2,0,1
2017-01-16,"http://digi-women.com/team-member/aoife-porter-bua-marketing/","bua marketing",0,1,0,9
2017-01-22,"http://digi-women.com/digiwomen-talk-time-at-the-wearehere-unconference/","wearehere",0,1,0,50
2017-03-01,"http://digi-women.com/ndrc-female-founders/","tara van zyl",0,1,0,4
