"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","ind","India",1,1,1,10
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","MOBILE","deu","Germany",1,1,1,10
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","can","Canada",1,2,0.5,43.5
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","usa","United States",1,1,1,10
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","ind","India",1,1,1,11
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","bel","Belgium",1,1,1,12
2017-03-07,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","pol","Poland",1,2,0.5,19
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","aus","Australia",0,1,0,40
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","aut","Austria",0,1,0,9
2017-03-14,"http://getoptimise.com/blog/industry/business-intelligence-vs-analytics/","business intelligence vs analytics","DESKTOP","usa","United States",0,1,0,42
2017-02-27,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","col","Colombia",0,1,0,10
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","deu","Germany",0,1,0,32
2017-03-10,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model excel","DESKTOP","usa","United States",0,1,0,31
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda rstudio","DESKTOP","chn","China",0,1,0,45
