"date","query","clicks","impressions","ctr","position"
2017-03-13,"digiwomen",1,2,0.5,1
2017-03-13,"patricia scanlon",1,5,0.2,8
2017-03-13,"rutgers data science",0,1,0,26
2017-03-13,"web summit 2017 women in tech",0,1,0,46
2017-03-13,"logo startup weekend",0,1,0,2
2017-03-13,"digi line problem 2017",0,1,0,53
2017-03-13,"digi facebook",0,2,0,11
2017-03-13,"career digi",0,1,0,33
2017-03-13,"dublin business school",0,3,0,50
2017-03-13,"lorna keogh",0,1,0,1
2017-03-13,"yoga with emma",0,3,0,6.66666666666667
2017-03-13,"digi woman",0,2,0,2
2017-03-13,"virtual office worx",0,2,0,5
2017-03-13,"yvonne costello facebook",0,1,0,19
2017-03-13,"lorna keogh instagram",0,1,0,6
2017-03-13,"gina bowes",0,1,0,2
2017-03-13,"marref",0,1,0,50
2017-03-13,"digi career",0,1,0,39
2017-03-13,"dbs poster",0,1,0,10
2017-03-13,"joanna norton",0,1,0,1
2017-03-13,"unfail",0,1,0,12
2017-03-13,"ann neidenbach nasdaq",0,2,0,35
2017-03-13,"digi do",0,1,0,32
2017-03-13,"tara van zyl",0,1,0,4
2017-03-13,"facebook for business",0,1,0,40
2017-03-13,"aoife porter",0,2,0,9
2017-03-13,"women in tech",0,1,0,4
2017-03-13,"oh snap sweden",0,1,0,2
2017-03-13,"priya facebook photo",0,1,0,43
2017-03-13,"elaine burke",0,5,0,2.6
2017-03-13,"zen hen",0,1,0,7
2017-03-13,"jessica maybury",0,1,0,1
2017-03-13,"zavvy",0,1,0,28
2017-03-13,"digi ireland",0,1,0,6
2017-03-13,"startup weekend logo",0,5,0,1
2017-03-13,"pauline sargent",0,1,0,5
2017-03-13,"wewerehere",0,1,0,44
2017-03-13,"digi business",0,1,0,46
2017-03-13,"hen zen",0,1,0,21
2017-03-13,"""leave a reply"" insert your data website",0,1,0,413
2017-03-13,"dbs castle house",0,1,0,18
2017-03-13,"digi twitter",0,1,0,38
2017-03-13,"clare mulvany",0,3,0,4
